ModelNumber,Name,Category,Colors,Status
"1101471","SUPERIOR DOWN PANTS MEN'S","INSULATION","BK;PAPRI;PUID","No mapping"
"1101472","SUPERIOR DOWN PANTS WOMEN'S","INSULATION","BK;PAPRI;PUID","No mapping"
"1101490","THERMAWRAP PANTS KID'S","KIDS & BABY","BK;DGN","No mapping"
"1101491","THERMAWRAP PANTS KID'S","KIDS & BABY","BK;DGN","No mapping"
"1101528","PLASMA 1000 ALPINE DOWN PARKA MEN'S","INSULATION","BK;LGY;PUID","No mapping"
"1101531","PLASMA 1000 DOWN VEST WOMEN'S","INSULATION","DKNV;WT","No mapping"
"1101538","U.L. THERMAWRAP PARKA MEN'S","INSULATION","BK24;NV;OG1","No mapping"
"1101541","U.L. THERMAWRAP VEST MEN'S","INSULATION","BK;GY","No mapping"
"1101543","U.L. THERMAWRAP PANTS","INSULATION","BK;TAUPE","No mapping"
"1101547","HUSKY COAT MEN'S","TRAVEL & COUNTRY","BK;BN;DGN","No mapping"
"1101549","TRAVEL DOWN PARKA WOMEN'S","TRAVEL & COUNTRY","DBN;SVWT;TRBK","No mapping"
"1101550","TRAVEL DOWN LONG COAT WOMEN'S","TRAVEL & COUNTRY","DKSP;LTKH;TRBK","No mapping"
"1101563","U.L. THERMAWRAP T","INSULATION","GY;NV","No mapping"
"1101568","BERNINA DOWN COAT WOMEN'S","TRAVEL & COUNTRY","BK;MR","No mapping"
"1101569","HUSKY COAT WOMEN'S","TRAVEL & COUNTRY","BRIC;HTGN","No mapping"
"1101575","LIGHT ALPINE DOWN PANTS MEN'S","INSULATION","BK;DKNV","No mapping"
"1101576","LIGHT ALPINE DOWN PANTS WOMEN'S","INSULATION","BK;DKNV","No mapping"
"1101606","LIGHT ALPINE DOWN PARKA MEN'S","INSULATION","BK;DKFO;IND;PAPRI;STBL","No mapping"
"1101608","LIGHT ALPINE DOWN JACKET MEN'S","INSULATION","BK;BRIC;IND;OLYL","No mapping"
"1101610","LIGHT ALPINE DOWN VEST MEN'S","INSULATION","BK;BKOV;IND","No mapping"
"1101615","BERNINA DOWN COAT MEN'S","TRAVEL & COUNTRY","BK;LTN","No mapping"
"1101633","THERMAWRAP ROUND NECK JACKET KID'S","KIDS & BABY","BK/KG;IV;OC/NV","No mapping"
"1101634","THERMAWRAP ROUND NECK JACKET KID'S","KIDS & BABY","BK;DGN;LT/MT","No mapping"
"1101663","SUPERIOR DOWN VEST MEN'S","INSULATION","BK;WRD","No mapping"
"1101664","SUPERIOR DOWN VEST WOMEN'S","INSULATION","IV;NV","No mapping"
"1101665","SUPERIOR DOWN T","INSULATION","BK;BN","No mapping"
"1101667","SUPERIOR DOWN ROUND NECK JACKET WOMEN'S","INSULATION","BK;GAR;KH;TQ;YL","No mapping"
"1101668","SUPERIOR DOWN ROUND NECK T MEN'S","INSULATION","BK;DGN","No mapping"
"1101669","SUPERIOR DOWN ROUND NECK T WOMEN'S","INSULATION","BK;GAR;YL","No mapping"
"1101670","SUPERIOR DOWN ROUND NECK VEST MEN'S","INSULATION","BK;TN","No mapping"
"1101671","SUPERIOR DOWN ROUND NECK VEST WOMEN'S","INSULATION","BK;KH;YL","No mapping"
"1101672","SUPERIOR DOWN V-NECK VEST MEN'S","INSULATION","BK;NV","No mapping"
"1101675","LIGHT ALPINE DOWN PARKA WOMEN'S","INSULATION","BGN;IV;NV;PU","No mapping"
"1101676","LIGHT ALPINE DOWN JACKET WOMEN'S","INSULATION","BGN;IV;NV;PU","No mapping"
"1101677","LIGHT ALPINE DOWN VEST WOMEN'S","INSULATION","IV;NV;PU","No mapping"
"1101684","SUPERIOR DOWN TRAVEL COAT WOMEN'S","TRAVEL & COUNTRY","BK;DNV;IV;KH","No mapping"
"1101690","EX LIGHT THERMAWRAP VEST MEN'S","INSULATION","BGN;BK","No mapping"
"1101692","U.L. THERMAWRAP ROUND NECK VEST MEN'S","INSULATION","BK;NV","No mapping"
"1101694","ASPEN DOWN HALF-LENGTH COAT MEN'S","TRAVEL & COUNTRY","BK;KH","No mapping"
"1101695","ASPEN DOWN COAT WOMEN'S","TRAVEL & COUNTRY","BK;LGY","No mapping"
"1101703","THERMAWRAP WARM PANTS KID'S","KIDS & BABY","LGY;NV","No mapping"
"1101704","THERMAWRAP WARM PANTS KID'S","KIDS & BABY","LGY;NV","No mapping"
"1101706","IGNIS DOWN PARKA MEN'S","INSULATION","BGN;BK;OG;TN","No mapping"
"1101707","IGNIS DOWN PARKA WOMEN'S","INSULATION","BK;LGY;YL","No mapping"
"1101708","ALPINE DOWN PARKA MEN'S","INSULATION","BGN;NV;OG","No mapping"
"1101710","ALPINE DOWN JACKET MEN'S","INSULATION","BL;NV;RD","No mapping"
"1101711","ALPINE DOWN JACKET WOMEN'S","INSULATION","IV;NV","No mapping"
"1101716","PERMAFROST LIGHT DOWN JACKET WOMEN'S","INSULATION","DBN;IV;NV","No mapping"
"1101717","SUPER DRY-TEC DOWN PANTS MEN'S","INSULATION","BK;NV","No mapping"
"1101718","SUPER DRY-TEC DOWN PANTS WOMEN'S","INSULATION","BK","No mapping"
"1101723","U.L. TRAVEL DOWN COAT WOMEN'S","TRAVEL & COUNTRY","BK;KH;LGY","No mapping"
"1101724","NEIGE DOWN COAT WOMEN'S","TRAVEL & COUNTRY","BK;DBN","No mapping"
"1102325","CLIMAPLUS 100 WITH SHELL JACKET","TRAVEL & COUNTRY","BK24;DKNV;KH;LGY","No mapping"
"1102572","DROITES PARKA MEN'S","ALPINE CLOTHING","BL;DGY;RD","No mapping"
"1102579","PUMORI PARKA WOMEN'S","ALPINE CLOTHING","LGY;TQ;YL","No mapping"
"1103253","O.D. VEST MEN'S","VEST","BK;BRDL;BRIC;DN/DN","No mapping"
"1103254","O.D. VEST WOMEN'S","VEST","IV;NV24;WRD","No mapping"
"1103304","COMPACT TRAVEL COAT","TRAVEL & COUNTRY","BK;DKNV","No mapping"
"1103333","NATURE GUIDE LIGHT VEST MEN'S","VEST","DGN;TN","No mapping"
"1103354","O.D. V-NECK VEST MEN'S","VEST","NV;TN","No mapping"
"1104812","WICKRON STRIPED LONG SLEEVE T KID'S","KIDS & BABY","BR/WT;IV/DN;WT/RD","No mapping"
"1104813","WICKRON STRIPED LONG SLEEVE T KID'S","KIDS & BABY","BR/WT;IV/DN;WT/RD","No mapping"
"1104938","WICKRON ZEO LONG SLEEVE T MEN'S","KNIT SHIRTS","DUGN;GM;IND;OG;WT25","No mapping"
"1104939","WICKRON ZEO LONG SLEEVE T WOMEN'S","KNIT SHIRTS","CHGY;LBL;PU;WTH","No mapping"
"1104940","WICKRON ZEO LONG SLEEVE ZIP SHIRT MEN'S","KNIT SHIRTS","BL;DUGN;GM;OG;WTH","No mapping"
