型號,商品名稱,分類,現有圖片色碼,電繪圖色碼
1101493,PLASMA 1000 DOWN JACKET MEN'S,INSULATION,"BGN,BK,LTSV,OG","BGN,OG"
1101529,PLASMA 1000 DOWN JACKET WOMEN'S,INSULATION,"DKNV,WT,YL",YL
1101530,PLASMA 1000 DOWN VEST MEN'S,INSULATION,"BGN,BK",BGN
1101539,U.L. THERMAWRAP JACKET MEN'S,INSULATION,"BK,LGY,NV,OG24",LGY
1101578,PLASMA 1000 ALPINE DOWN PARKA WOMEN'S,INSULATION,"DKNV,WT,YL","WT,YL"
1101597,U.L. THERMAWRAP PARKA WOMEN'S,INSULATION,"LGY24,NV,YL","NV,YL"
1101598,U.L. THERMAWRAP JACKET WOMEN'S,INSULATION,"BGN,NV1,YL",YL
1101599,U.L. THERMAWRAP VEST WOMEN'S,INSULATION,"LGY24,NV1",
1101659,SUPERIOR DOWN PARKA MEN'S,INSULATION,"BGN,BK,CN,GY,RD","BGN,CN,GY"
1101660,SUPERIOR DOWN PARKA WOMEN'S,INSULATION,"BGN,IV,LV,NV",LV
1101661,SUPERIOR DOWN JACKET MEN'S,INSULATION,"BGN,BK,DGN,GY,OG","GY,OG"
1101662,SUPERIOR DOWN JACKET WOMEN'S,INSULATION,"BGN,IV,LV,NV",LV
1101666,SUPERIOR DOWN ROUND NECK JACKET MEN'S,INSULATION,"BK,BN,DGN,LGY,TN25","BN,LGY"
1101673,NEIGE DOWN PARKA MEN'S,INSULATION,"BK,BL,NV,TN,WRD",TN
1101674,NEIGE DOWN PARKA WOMEN'S,INSULATION,"BK,GY,LGY,RD",RD
1101684,SUPERIOR DOWN TRAVEL COAT WOMEN'S,TRAVEL & COUNTRY,"BK,DNV,IV,KH",DKNV
1101686,EX LIGHT THERMAWRAP PARKA MEN'S,INSULATION,"BGN,BK,GN,LGN,YL",YL
1101687,EX LIGHT THERMAWRAP PARKA WOMEN'S,INSULATION,"BGN1,BK,RD","BK,RD"
1101688,EX LIGHT THERMAWRAP JACKET MEN'S,INSULATION,"BGN,BK,LGN,PU,RD","PU,RD"
1101689,EX LIGHT THERMAWRAP JACKET WOMEN'S,INSULATION,"BGN1,BK,RD","BK,RD"
1101691,EX LIGHT THERMAWRAP VEST WOMEN'S,INSULATION,"BGN,BK","BGN,BK"
1101693,U.L. THERMAWRAP ROUND NECK VEST WOMEN'S,INSULATION,"GY,NV1",
1101709,ALPINE DOWN PARKA WOMEN'S,INSULATION,"IV,NV,TQ",TQ
1101713,PERMAFROST LIGHT DOWN PARKA MEN'S,INSULATION,"BGN,BK,DGN,RD,YL",RD
1101714,PERMAFROST LIGHT DOWN PARKA WOMEN'S,INSULATION,"CN,DBN,IV,NV","CN,IV"
1101727,EX LIGHT THERMAWRAP V-NECK JACKET MEN'S,INSULATION,"BK,LGN","BK,LGN"
1101728,EX LIGHT THERMAWRAP ROUND NECK JACKET WOMEN'S,INSULATION,"BGN,BK,RD","BGN,BK,RD"
1101729,NEIGE DOWN JACKET MEN'S,INSULATION,"BK,DGN,NV,OG","BK,DGN,NV,OG"
1101730,NEIGE DOWN JACKET WOMEN'S,INSULATION,"BK,GY,LGY,RD","BK,GY,LGY,RD"
1101731,NEIGE DOWN VEST MEN'S,INSULATION,"DGN,TN","DGN,TN"
1101732,NEIGE DOWN VEST WOMEN'S,INSULATION,"BK,GY,LGY","BK,GY,LGY"
1101733,SUPERIOR DOWN 3/4 SLEEVE T,INSULATION,"DGY,RD","DGY,RD"
1101734,U.L. THERMAWRAP ROUND NECK 3/4 SLEEVE T,INSULATION,"BK,GY","BK,GY"
1101735,COLORADO PARKA MEN'S,TRAVEL & COUNTRY,"BK,DGN1,IV,KH,WRD","BK,DGN,KH,WRD"
1101736,COLORADO PARKA WOMEN'S,TRAVEL & COUNTRY,"DGY,NV,TN","DGY,NV,TN"
1101737,COLORADO VEST MEN'S,TRAVEL & COUNTRY,"BK,DGN","BK,DGN"
1101738,COLORADO VEST WOMEN'S,TRAVEL & COUNTRY,"NV,TN","NV,TN"
1101739,COLORADO COAT MEN'S,TRAVEL & COUNTRY,"BK,TN","BK,TN"
1101740,CORTINA DOWN HALF-LENGTH COAT WOMEN'S,TRAVEL & COUNTRY,"BK,BN","BK,BN"
1101741,CORTINA DOWN COAT WOMEN'S,TRAVEL & COUNTRY,"BK,TN","BK,TN"
1101742,DOWN LINER COAT,TRAVEL & COUNTRY,BK,BK
1101745,COLORADO PARKA KID'S 140-160,KIDS & BABY,"DGN,DGY,NV","DGN,DGY,NV"
1101746,COLORADO PARKA KID'S 100-130,KIDS & BABY,"BL,DGY,PU","BL,DGY,PU"
1101747,TRAVEL PARKA KID'S 140-160,KIDS & BABY,"BGN,BK,IV","BGN,BK,IV"
1101748,TRAVEL PARKA KID'S 100-130,KIDS & BABY,"BGN,BK,WRD","BGN,BK,WRD"
1101749,HUSKY DOWN COAT KID'S 140-160,KIDS & BABY,"BK,DGN,YL","BK,DGN,YL"
1101750,HUSKY DOWN COAT KID'S 100-130,KIDS & BABY,"BK,DGN,YL","BK,DGN,YL"
1101751,REVERSIBLE PARKA KID'S 140-160,KIDS & BABY,"BK,NV,NV1,RD","BK,NV,RD"
1101752,REVERSIBLE PARKA KID'S 100-130,KIDS & BABY,"BK,BL,PU,TN","BK,BL,PU,TN"
1101753,THERMAWRAP WARM PARKA KID'S 140-160,KIDS & BABY,"BK,TQ,YL","BK,TQ,YL"
